place_id,name,place_kind,reality_status,current_lat,current_lon,parent,current_role,verification_source,verified_lat,verified_lon,delta_km,render_px_x,render_px_y,in_viewbox,map_status,status,risk,recommendation
V1-ENT-0001,阿根廷,country,real,,,,author_geography,n/a,,,,,,n/a,featured,COUNTRY_POLYGON_REPRESENTATION (no point by design),LOW,-
V1-ENT-0008,阿什格罗夫,fictional_place,unknown,,,,fictional_setting,n/a,,,,,,n/a,hidden,NO_COORDINATE_UNRESOLVED (hidden),LOW,-
V1-ENT-0009,加雷街,street,real,,,V1-ENT-0001,story_setting,n/a,,,,,,n/a,hidden,NO_COORDINATE_BY_DESIGN,LOW,-
V1-ENT-0022,里约热内卢,city,real,-22.90642,-43.18223,V2-GEO-BR,author_geography/story_setting,GeoNames 3451190 re-fetched via sws.geonames.org/about.rdf this session; project-cited URL type: https://www.geonames.org/search.html?country=BR,-22.90642,-43.18223,0.00,765.6,351.8,TRUE,featured,PASS_EXACT_DELTA0,LOW,A-2 PENDING: replace the search/mirror citation with the correct permanent GeoNames entity URL; do not change coordinates or entity identity.
V1-ENT-0051,墨西哥,country,real,,,,author_geography,n/a,,,,,,n/a,featured,COUNTRY_POLYGON_REPRESENTATION (no point by design),LOW,-
V1-ENT-0052,恰帕斯,region,real,16.5,-92.5,V1-ENT-0051,author_geography/story_setting,"project-cited https://www.chiapas.gob.mx/ubicacion/ — page returned 0 bytes this session (CANNOT_VERIFY online); value plausible (state interior, region_centroid tolerance)",,,,260.9,103.8,TRUE,eligible,BLOCKED_CANNOT_VERIFY,LOW,BLOCKED/CANNOT_VERIFY: retain the current citation and coordinates; do not convert or promote until the correct permanent GeoNames entity is located and independently verified; record the blocker under A-2.
V1-ENT-0053,科米坦,city,real,16.24003512,-92.13668459,V1-ENT-0051,author_geography,GeoNames 3530367 re-fetched via sws.geonames.org/about.rdf this session; project-cited URL type: https://www.geonames.org/search.html?country=MX&q=Mexico&sta,16.24004,-92.13668,0.00,264.6,105.5,TRUE,eligible,PASS_EXACT_DELTA0,LOW,A-2 PENDING: replace the search/mirror citation with the correct permanent GeoNames entity URL; do not change coordinates or entity identity.
V1-ENT-0054,伊斯特佩克,city,real,16.56052,-95.10375,V1-ENT-0051,story_setting,GeoNames 3526674 re-fetched via sws.geonames.org/about.rdf this session; project-cited URL type: https://www.geonames.org/advanced-search.html?country=MX&fea,16.56052,-95.10375,0.00,234.3,103.4,TRUE,eligible,PASS_EXACT_DELTA0,LOW,A-2 PENDING: replace the search/mirror citation with the correct permanent GeoNames entity URL; do not change coordinates or entity identity.
V1-ENT-0055,科马拉,fictional_place,fictional,,,V1-ENT-0051,fictional_setting,n/a,,,,,,n/a,featured,NO_COORDINATE_BY_DESIGN (fictional; builder-enforced),LOW,keep no-coordinate policy
V1-ENT-0056,墨西哥城,city,real,19.42847243,-99.12766457,,author_geography/story_setting/work_setting,GeoNames 3530597 re-fetched via sws.geonames.org/about.rdf this session; project-cited URL type: https://www.geonames.org/advanced-search.html?q=M%C3%A9xico,19.42847,-99.12766,0.00,193.1,85.4,TRUE,eligible,PASS_EXACT_DELTA0,LOW,A-2 PENDING: replace the search/mirror citation with the correct permanent GeoNames entity URL; do not change coordinates or entity identity.
