temporary_id,origin_material_id,subject_id,fact_field,value_text,material_class,origin_id,confidence,admission_status,usage_note
CAND-C-FCT-001,CAND-C-SRC-001,V1-ENT-0059,birth_year,1914,fact,CAND-C-FCT-001,high,candidate_for_staging_review,"Nobel Facts 页 ""Born: 31 March 1914, Mexico City, Mexico"""
CAND-C-FCT-002,CAND-C-SRC-001,V1-ENT-0059,death_year,1998,fact,CAND-C-FCT-002,high,candidate_for_staging_review,"Nobel Facts 页 ""Died: 19 April 1998, Mexico City, Mexico""；poets.org 亦标 1914-1998"
CAND-C-FCT-003,CAND-C-SRC-001,V1-ENT-0059,country_or_region,墨西哥,fact,CAND-C-FCT-003,high,candidate_for_staging_review,"Nobel Facts 页 ""Residence at the time of the award: Mexico""；与 poets.org 国籍信息一致"
CAND-C-FCT-004,CAND-C-SRC-001,V1-ENT-0059,language,es,fact,CAND-C-FCT-004,high,candidate_for_staging_review,"Nobel Facts 页 ""Language: Spanish"""
CAND-C-FCT-005,CAND-C-SRC-001,V1-ENT-0059,birth_place,墨西哥城（Ciudad de México）,fact,CAND-C-FCT-005,high,candidate_for_staging_review,既有 fact_field 词表无 birth_place 字段；按 packet 要求出生地以 fact 记录（禁止 BORN_IN 关系）；建议 Reviewer 评估新增字段或并入既有字段
CAND-C-FCT-006,CAND-C-SRC-001,V1-ENT-0059,award,诺贝尔文学奖（1990）,fact,CAND-C-FCT-006,high,candidate_for_staging_review,参照库内 V1-FCT-0122「诺贝尔文学奖（1982）」格式；Nobel Facts 与 1990 主页面双重确认
CAND-C-FCT-007,CAND-C-SRC-001,V1-ENT-0059,one_sentence_summary,墨西哥诗人、散文家与外交官，1990 年诺贝尔文学奖得主，生于墨西哥城，以《孤独的迷宫》等分析墨西哥历史与文化的随笔闻名,fact,CAND-C-FCT-007,high,candidate_for_staging_review,综合 Nobel Facts 与 poets.org 传记表述
CAND-C-FCT-008,CAND-C-SRC-001,V1-ENT-0059,career_note,诗人、散文家、记者与翻译；1946 年起任外交官约 20 年，1962 年任墨西哥驻印度大使，1968 年为抗议墨西哥城政府镇压学生示威而辞职；创办《El hijo pródigo》《Vuelta》等文学杂志；受马克思主义、超现实主义、存在主义、佛教与印度教思想影响,fact,CAND-C-FCT-008,high,candidate_for_staging_review,Nobel Facts 生涯段 + poets.org 传记载
CAND-C-FCT-009,CAND-C-SRC-001,CAND-C-W-001,entity_layer,work,fact,CAND-C-FCT-009,high,candidate_for_staging_review,参照库内 work 实体 entity_layer fact（如 V1-FCT-0013）惯例
CAND-C-FCT-010,CAND-C-SRC-001,CAND-C-W-001,first_publication_year,1950,fact,CAND-C-FCT-010,high,candidate_for_staging_review,"Nobel Facts ""El laberinto de la soledad (1950)""；poets.org 标 FCE 1950"
