source_id,temporary_id,title,original_title,author_or_editor,translator,publisher,publication_year,isbn,format,page_count,language,source_level,processing_status,source_task,public_content_scope,local_asset_status,persistent_id,canonical_url
SRC-0001,TMP-001,世界文学的奇葩——拉丁美洲文学研究,,中国西班牙、葡萄牙、拉丁美洲文学研究会（编）,不适用,旅游教育出版社,1989,7-5637-0121-4/I-005,pdf,324,zh,A,l1_pass,N1-OCR-001,metadata_only,local_only,,
SRC-0002,TMP-002,拉丁美洲文学教程（阅读篇）,Manual de la Literatura Hispanoamericana,郑书九（主编）,不适用,外语教学与研究出版社,2017,978-7-5135-8570-5,pdf,478,zh+es,A,l1_pass,N1-OCR-001,metadata_only,local_only,,
SRC-0003,TMP-003,现代拉丁美洲文学,Modern Latin American Literature: A Very Short Introduction,罗伯托·冈萨雷斯·埃切维里亚,金薇,译林出版社,2020,978-7-5447-8101-5,pdf,277,zh+en,A,l1_pass,N1-OCR-001,metadata_only,local_only,,
SRC-0004,TMP-004,21世纪的拉美小说研究,,朱景冬,不适用,中国社会科学出版社,2019,978-7-5203-4744-0,pdf,364,zh,A,l1_pass,N1-OCR-001,metadata_only,local_only,,
SRC-0005,TMP-005,不止魔幻：拉美文学第一课,,侯健,不适用,广西师范大学出版社,2026,9787559869548,epub,N/A,zh,B,l1_pass,N1-OCR-001,metadata_only,local_only,,
SRC-0006,TMP-006,救赎者：拉丁美洲的面孔与思想,REDENTORES: CARAS Y PENSAMIENTOS EN AMÉRICA LATINA,恩里克·克劳泽,万戴,北京日报出版社,2020,978-7-5477-3702-6,epub,N/A,zh,B,l1_pass,N1-OCR-001,metadata_only,local_only,,
SRC-0007,DISC-BOR-002,大英百科全书博尔赫斯传记,Britannica: Jorge Luis Borges,Encyclopaedia Britannica 编辑团队,不适用,Encyclopaedia Britannica,持续修订,,html,N/A,en,B,access_pass,V1-S2-003-A,metadata_and_summary,remote_only,,https://www.britannica.com/biography/Jorge-Luis-Borges
SRC-0008,DISC-BOR-004,博尔赫斯《阿莱夫》之名的政治,"Politics of the Name: On Borges's ""El Aleph""","Rosman, Silvia",不适用,"Variaciones Borges (Borges Center, University of Pittsburgh)",2002,,pdf,15,en,A,access_pass,V1-S2-003-A,metadata_and_summary,remote_only,Variaciones Borges 14 (2002) pp.7-21,https://borges.pitt.edu/bsol/documents/1401.pdf
SRC-0009,DISC-LIS-003,IMS 李斯佩克朵专题网站,Clarice Lispector (site oficial),Instituto Moreira Salles,不适用,Instituto Moreira Salles,2012-2026,,html,N/A,pt,B,access_pass,V1-S2-003-A,metadata_and_summary,remote_only,,https://site.claricelispector.ims.com.br/
SRC-0010,DISC-LIS-004,USP 博士论文（李斯佩克朵晚期小说研究）,No limiar do silêncio e da letra: traços da autoria em Clarice Lispector,"Homem, Maria Lúcia Stacchini Ferreira",不适用,Universidade de São Paulo (FFLCH),2001,,html+pdf,N/A,pt,A,access_pass,V1-S2-003-A,metadata_and_summary,remote_only,DOI 10.11606/T.8.2001.tde-17102011-104726,https://www.teses.usp.br/teses/disponiveis/8/8151/tde-17102011-104726/
SRC-0011,DISC-LIS-005,SciELO 期刊文章（升华与女性）,Do que se pode ler em Clarice Lispector: sublimação e feminino,"Marcos, Cristina",不适用,"Revista do Departamento de Psicologia, Universidade Federal Fluminense (UFF)",2007,,html,N/A,pt,A,access_pass,V1-S2-003-A,metadata_and_summary,remote_only,DOI 10.1590/S0104-80232007000100016,https://www.scielo.br/j/rdpsi/a/PyG66JcBMdCsLDwd7GVmT7v
SRC-0012,DISC-LIS-009,UNESP 期刊文章（虚构面具）,Jogos ficcionais como máscaras em obras de Clarice Lispector,"Silva, Edson Ribeiro da",不适用,"Patrimônio e Memória, Universidade Estadual Paulista (UNESP-Assis)",2014,,html+pdf,22,pt,A,access_pass,V1-S2-003-A,metadata_and_summary,remote_only,DOI 10.5016/pem.v10i1.3557,https://seer.assis.unesp.br/index.php/pem/article/view/3557
SRC-0013,DISC-LIS-010,UESB 期刊文章（21世纪读李斯佩克朵）,CLARICE LISPECTOR PARA MULHERES – E HOMENS – DO SÉCULO XXI,"Amodeo, Maria Tereza; Silveira, Andresa da",不适用,"Fólio - Revista de Letras, Universidade Estadual do Sudoeste da Bahia (UESB)",2021,,html+pdf,N/A,pt,A,access_pass,V1-S2-003-A,metadata_and_summary,remote_only,DOI 10.22481/folio.v12i2.7437,https://periodicos2.uesb.br/folio/article/view/7437
