target_id,target_type,field,current_status,classification,research_refs,source_refs,evidence_sufficiency,judgment_level,reason,recommended_next_action,wcd06_decision,decision_basis
V1-ENT-0059,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0297;V1-FCT-0298;V1-FCT-0299;V1-FCT-0300;V1-FCT-0301;V1-FCT-0302;V1-FCT-0303;V1-FCT-0304;V1-REL-0085;V1-REL-00...,SRC-0098;SRC-0099;SRC-0100,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0145,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0260;V1-FCT-0261;V1-FCT-0262;V1-FCT-0263;V1-REL-0077;V1-REL-0078;V1-REL-0101,SRC-0087;SRC-0088;SRC-0128,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0148,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0274;V1-FCT-0275;V1-FCT-0276;V1-FCT-0278;V1-FCT-0279;V1-FCT-0280;V1-FCT-0281;V1-FCT-0282;V1-FCT-0283;V1-FCT-02...,SRC-0096;SRC-0097,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0170,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0355;V1-FCT-0356;V1-FCT-0357;V1-FCT-0359;V1-REL-0112,SRC-0130,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0171,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0369;V1-FCT-0370;V1-FCT-0371;V1-REL-0113,SRC-0134,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0172,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0382;V1-FCT-0383;V1-FCT-0384;V1-FCT-0385;V1-FCT-0386;V1-REL-0114,SRC-0138;SRC-0139,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0185,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0410;V1-FCT-0411;V1-FCT-0412;V1-FCT-0413;V1-REL-0118;V1-REL-0119;V1-REL-0120;V1-REL-0125,SRC-0144;SRC-0145;SRC-0146;SRC-0147,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0186,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0423;V1-FCT-0424;V1-FCT-0425;V1-FCT-0426;V1-FCT-0427;V1-REL-0121;V1-REL-0122;V1-REL-0123;V1-REL-0126,SRC-0148;SRC-0149;SRC-0150,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0200,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0465;V1-FCT-0466;V1-FCT-0467;V1-FCT-0468;V1-FCT-0469;V1-REL-0134;V1-REL-0135;V1-REL-0136;V1-REL-0139,SRC-0162;SRC-0163,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0211,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0479;V1-FCT-0480;V1-FCT-0481;V1-FCT-0482;V1-FCT-0483;V1-REL-0140;V1-REL-0141;V1-REL-0142;V1-REL-0149,SRC-0165;SRC-0166;SRC-0167,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0212,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0493;V1-FCT-0494;V1-FCT-0495;V1-FCT-0496;V1-FCT-0497;V1-REL-0143;V1-REL-0144;V1-REL-0145;V1-REL-0150,SRC-0168;SRC-0169;SRC-0170,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0213,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0507;V1-FCT-0508;V1-FCT-0509;V1-FCT-0510;V1-FCT-0511;V1-REL-0146;V1-REL-0147;V1-REL-0148;V1-REL-0151,SRC-0171;SRC-0172;SRC-0173;SRC-0174,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0223,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0521;V1-FCT-0522;V1-FCT-0523;V1-FCT-0524;V1-FCT-0525,SRC-0177;SRC-0178,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0224,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0526;V1-FCT-0527;V1-FCT-0528;V1-FCT-0529;V1-FCT-0530,SRC-0180;SRC-0181;SRC-0182,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0225,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0531;V1-FCT-0532;V1-FCT-0533;V1-FCT-0534;V1-FCT-0535,SRC-0183;SRC-0187;SRC-0185,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0236,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0563;V1-FCT-0564;V1-FCT-0565;V1-FCT-0566;V1-FCT-0567,SRC-0188;SRC-0189,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0237,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0568;V1-FCT-0569;V1-FCT-0570;V1-FCT-0571;V1-FCT-0572,SRC-0191;SRC-0192,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0238,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0573;V1-FCT-0574;V1-FCT-0575;V1-FCT-0576;V1-FCT-0577,SRC-0194;SRC-0195,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0248,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0605;V1-FCT-0606;V1-FCT-0607;V1-FCT-0608;V1-FCT-0609,SRC-0197;SRC-0198,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
