asset_id,file_path,purpose,creator_or_rightsholder,source_page_url,license_name,license_url,attribution_required,modifications,width_px,height_px,size_bytes,verification_status,notes
AST-001,previews/wcd-11/imagery/geo-data.js,高保真原型地图底图渲染（内联 GeoJSON）,Natural Earth（naturalearthdata.com）,https://www.naturalearthdata.com/downloads/50m-cultural-vectors/,Public domain,https://www.naturalearthdata.com/terms-of-use/,yes-verbatim-line,项目构建链派生（NE 5.1.1 Admin 0 50m 经窗口筛选/量化/拆分；产物 SHA 9a225c6be6b217bf67ab4ed687598563e8d7c405a827bcca78ede99439c67cd6）,0,0,273975,VERIFIED,与正式站点同一资产（git archive 6e1d882 只读导出）；署名行已在原型页面呈现
AST-002,previews/wcd-11/imagery/（collage-stamp/collage-plate/portrait-block/seal 等 CSS 排版元素）,刊头印章/图版卡/作家首字字块等装饰,LATAM 文学地图项目（候选设计，GLM-5.3 绘制）,N/A,项目自有（候选交付物）,N/A,no,原创排版与描边元素——非照片、非扫描、非第三方素材,0,0,0,VERIFIED,零外部图片；不含人物肖像/AI 人脸；待 USER 视觉确认后随候选包一并交付
AST-003,previews/wcd-11/imagery/data.js,原型数据（公开投影子集）,LATAM 文学地图项目数据,repo:data/v2/web/site_data.json@6e1d882,项目数据许可（与主库一致）,N/A,no,仅字段裁剪（白名单字段；无审核/内部字段）,0,0,60792,VERIFIED,来源为已审计公开投影；趣闻仅 9 白名单字段
AST-004,previews/wcd-11/imagery/assets/texture/paper.svg,imagery 变体全站纸面质感（细颗粒+晕染+纤维，平铺）,LATAM 文学地图项目（候选设计，GLM-5.3 程序生成）,N/A,项目自有（候选交付物）,N/A,no,feTurbulence 程序化生成——零外部素材零许可风险,640,640,1563,VERIFIED,SHA256 前缀 d3885603e2234c04；2026-09-10 截图复核（home-1440/marquez-1440 纸纹可见）
AST-005,previews/wcd-11/imagery/assets/portraits/v1-ent-0072.jpg,作家档案身份栏肖像＋首页作家精选缩略（加西亚·马尔克斯）,Gorup de Besanez,https://commons.wikimedia.org/wiki/File:Gabriel_Garc%C3%ADa_M%C3%A1rquez_02_(cropped).jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,wsrv.nl 代理下载并等比缩至宽 720（未裁剪未再创作；页面以 CSS 做旧双色调呈现属展示层处理）,720,1115,156529,VERIFIED,SHA256 前缀 c832dc57e9a4de29；Commons API 元数据核验（LicenseShortName=CC BY-SA 4.0）；照片内容经视觉模型核验确为马尔克斯本人；图注含作者/来源/许可
AST-006,previews/wcd-11/imagery/assets/portraits/v1-ent-0211.jpg,作家档案身份栏肖像（马查多·德·阿西斯）,佚名（约1896）,https://commons.wikimedia.org/wiki/File:Machado_de_Assis_aos_57_anos.jpg,Public domain,https://commons.wikimedia.org/wiki/Help:Public_domain,no,wsrv.nl 代理下载并等比缩至宽 720,720,1056,148948,VERIFIED,SHA256 前缀 df54f2c32533c2e3；Commons API 元数据核验（Public domain）；视觉核验为 1890 年代蛋白印相风格马查多肖像；自愿保留图注
AST-007,previews/wcd-11/imagery/assets/portraits/v1-ent-0114.jpg,作家档案身份栏肖像＋首页作家精选缩略（巴尔加斯·略萨）,Bernard Gotfryd（Look 杂志摄影，美国国会图书馆馆藏）,https://commons.wikimedia.org/wiki/File:Mario_Vargas_Llosa_1986_cropped.jpg,Public domain,https://commons.wikimedia.org/wiki/Help:Public_domain,no,wsrv.nl 代理下载并等比缩至宽 720（Commons 端为官方裁剪版）,720,1058,141735,VERIFIED,SHA256 前缀 ab41147ea190673a；Commons API 元数据核验（Public domain）；视觉核验为 1986 年略萨肖像
AST-008,previews/wcd-11/imagery/assets/portraits/v1-ent-0059.jpg,作家档案身份栏肖像＋首页作家精选缩略（奥克塔维奥·帕斯）,Jonn Leffmann,https://commons.wikimedia.org/wiki/File:Octavio_Paz_-_1988_Malm%C3%B6.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,yes,wsrv.nl 代理下载（原图宽 644 未缩放）,644,888,266836,VERIFIED,SHA256 前缀 d54603dbe632de77；Commons API 元数据核验（CC BY 3.0）；图注含作者/来源/许可
AST-009,previews/wcd-11/imagery/assets/portraits/v1-ent-0016.jpg,作家档案身份栏肖像（克拉丽丝·李斯佩克朵）,巴西国家档案馆,"https://commons.wikimedia.org/wiki/File:Clarice_Lispector,_1968.jpg",Public domain,https://commons.wikimedia.org/wiki/Help:Public_domain,no,wsrv.nl 代理下载并等比缩至宽 720,720,961,89844,VERIFIED,SHA256 前缀 1c839a78d183a493；Commons API 元数据核验（Public domain）
AST-010,previews/wcd-11/imagery/assets/portraits/v1-ent-0074.jpg,作家档案身份栏肖像（阿莱霍·卡彭铁尔）,佚名,https://commons.wikimedia.org/wiki/File:Alejo_Carpentier_c._1955.jpg,Public domain,https://commons.wikimedia.org/wiki/Help:Public_domain,no,wsrv.nl 代理下载并等比缩至宽 720,720,1055,203020,VERIFIED,SHA256 前缀 71613897d1431556；Commons API 元数据核验（Public domain）
