temporary_id,origin_material_id,subject_id,fact_field,value_text,material_class,origin_id,confidence,admission_status,usage_note
CAND-B-FCT-001,CAND-B-SRC-001,CAND-B-ENT-001,birth_year,1889,fact,SRC-CAND-B-001（页面字段 Born: 7 April 1889）,high,batch_retained_candidate,诺贝尔官网 facts 页
CAND-B-FCT-002,CAND-B-SRC-001,CAND-B-ENT-001,death_year,1957,fact,"SRC-CAND-B-001（页面字段 Died: 10 January 1957, Hempstead, NY, USA）",high,batch_retained_candidate,逝世地 Hempstead（纽约州）见于页面；出生地/逝世地不作 BORN_IN 关系
CAND-B-FCT-003,CAND-B-SRC-001,CAND-B-ENT-001,country_or_region,智利,fact,SRC-CAND-B-001（获奖时居留地 Chile；生于智利）,high,batch_retained_candidate,参照 V1-FCT-0176（聂鲁达 country_or_region=智利）写法
CAND-B-FCT-004,CAND-B-SRC-001,CAND-B-ENT-001,language,es,fact,SRC-CAND-B-001（页面 Language: Spanish）,high,batch_retained_candidate,参照 V1-FCT-0118 写法
CAND-B-FCT-005,CAND-B-SRC-001,CAND-B-ENT-001,original_name,Lucila Godoy Alcayaga,fact,SRC-CAND-B-001（Life 段）,high,batch_retained_candidate,本名；笔名见 personal_note
CAND-B-FCT-006,CAND-B-SRC-001,CAND-B-ENT-001,personal_note,"本名 Lucila Godoy Alcayaga；笔名 Gabriela Mistral 取自她喜爱的两位诗人 Gabriele D'Annunzio 与 Frédéric Mistral",fact,SRC-CAND-B-001（Life 段）,high,batch_retained_candidate,身份/笔名来源说明
CAND-B-FCT-007,CAND-B-SRC-001,CAND-B-ENT-001,one_sentence_summary,"智利诗人，1945 年诺贝尔文学奖得主，南美洲（拉丁美洲）首位诺贝尔文学奖得主；出身教师，曾任智利驻多国领事",fact,SRC-CAND-B-001（Facts/Life/Work 段综合）,high,batch_retained_candidate,"南美洲首位为 Nobel 原文表述（South America's first ever Nobel Laureate in Literature）；packet 所称""拉丁美洲首位""与此一致（1945 年前无任何拉美国家作家获奖）"
CAND-B-FCT-008,CAND-B-SRC-001,CAND-B-ENT-001,career_note,"15 岁起在故乡任教；后在拉丁美洲多国教育系统任职、参与多个委员会，并担任智利驻多个国家的领事",fact,SRC-CAND-B-001（Life 段）,high,batch_retained_candidate,参照 V1-FCT-0182（聂鲁达 career_note）写法
CAND-B-FCT-009,CAND-B-SRC-001,CAND-B-ENT-001,award,诺贝尔文学奖（1945）,fact,SRC-CAND-B-001,high,batch_retained_candidate,参照 V1-FCT-0122（马尔克斯 award=诺贝尔文学奖（1982））写法
CAND-B-FCT-010,CAND-B-SRC-002,CAND-B-ENT-001,research_note,"获奖理由：因其抒情诗以强烈情感为灵感，使她的名字成为整个拉丁美洲世界理想主义渴望的象征",research_note,SRC-CAND-B-002（Prize motivation 中文页引文）,high,batch_retained_candidate,参照 V1-FCT-0121（获奖理由 research_note）写法
