source_id,category,name,publisher_institution,what_it_provides,geometry_available,coverage_scope,version_currency,license,redistribution_allowed,political_boundary_policy,technical_suitability,map_grade,recommended_role_for_wcd09,access_evidence_2026_09_06,notes
MAPSRC-01,A,UN Geospatial (Vector data / official maps),United Nations Geospatial Information Section,official UN boundary geometry + official cartographic products,YES (map services/vector downloads),global admin-0/1; UN-consistent boundaries,maintained continuously,UN internal use terms; public reuse requires case check (NOT VERIFIED this session),UNCLEAR — verify before any redistribution,boundaries follow UN policy; non-recognition marked (e.g. disputed areas noted); does not imply endorsement,reference-grade but licensing gate; direct GeoJSON supply unconfirmed,MAP-A,disputed-boundary POLICY REFERENCE (how a neutral international body marks disputes) + naming reference,https://www.un.org/en/geospatial/ → HTTP 403 (CloudFront) this session = ACCESS_BLOCKED,terms page could not be read this session; treat any redistribution as unverified until terms checked
MAPSRC-02,A,UN Cartographic Section standard maps,United Nations Cartographic Section,authoritative reference MAPS (PDF) with dispute disclaimers,NO (cartographic products not open geometry),global,n/a,viewing/reference; reuse subject to UN terms,UNCLEAR,n/a (paper/PDF maps carry explicit disclaimers),good visual reference for dispute depiction conventions,MAP-A,neutral depiction reference (dashed lines/disclaimer wording) for D-2/D-3/D-4,not fetched this session (same 403 family),cite only for conventions; not a data supply channel
MAPSRC-03,A,UNSD M49 / geographic regions,United Nations Statistics Division,country/area CODES + regional groupings (Latin America and the Caribbean; Caribbean/Central America/South America),NO,global,stable with updates,free use with attribution,YES (data),n/a (no geometry),scope-definition reference only — NOT a boundary source,MAP-A,scope definition (03 file) + country code crosswalk,https://unstats.un.org/unsd/methodology/m49/ HTTP 200 (2.05MB page fetched; grouping strings confirmed),prove the rule: code lists ≠ boundary datasets
MAPSRC-04,A,ISO 3166 country codes,ISO,country/territory CODES (alpha-2/alpha-3),NO,global,continuously updated via ISO 3166 Maintenance Agency,standard text NOT freely redistributable; online browsing free,NO (standard text),n/a (no geometry),code reference only,MAP-A,crosswalk validation of ISO_A2/ADM0_A3 columns in 02,not fetched this session (browsable pages known),NE already embeds ISO codes; ISO used as validation crosswalk not as data source
MAPSRC-05,B,Natural Earth,Natural Earth (NACIS; led by NV Kelso),admin-0..1 polygons + disputed-area variants; 110m/50m/10m,YES (SHP/GeoJSON),global,5.1.1 current (VERSION.txt read from naciscdn this session),"PUBLIC DOMAIN (official terms page states ""public domain"", ""no permission needed to use""; NOTE: page does NOT use the term ""CC0"" — accurate framing is public domain, not CC0-licensed)",YES (public domain; no attribution required),shows DE FACTO control; separate 'disputed areas' products + 'breakaway' themes; POV handling documented,excellent for web basemap; 50m captures full Caribbean arc,MAP-B,PRIMARY basemap candidate (50m) — see 08/11/12,downloaded all three scales from https://naciscdn.org this session (110m 214976B / 50m 799734B / 10m 4930492B),widely used ≠ sole authority on every political question; use policy refs MAPSRC-01 and MAPSRC-11 for disputes
MAPSRC-06,C,geoBoundaries,geoBoundaries.org,ADM0-ADM5 open boundaries per country,YES (GeoJSON/SHP),global,continuous release archive with versioned downloads,CC BY 4.0 (product-dependent; per-file license page),YES with attribution,de jure per reporting state; recognized-boundary framing,good; per-country metadata quality varies,MAP-B,alternative/secondary geometry source; useful for ADM1 cross-check,https://www.geoboundaries.org/ HTTP 200 this session,per-file license must be re-checked at download time
MAPSRC-07,C,GADM,GADM project,global administrative areas 0-3+,YES,global,v4.1 (2022),free for academic/non-commercial; COMMERCIAL use requires permission,CONDITIONAL,n/a documented minimal,good topology; heavy,MAP-B,NOT recommended for this public site (license condition),site unreachable from this network this session = ACCESS_BLOCKED,license condition alone disqualifies it for GitHub Pages distribution
MAPSRC-08,C,OpenStreetMap,OSM Foundation,crowd-sourced geometry incl. boundaries,YES,global,continuous,ODbL 1.0 — SHARE-ALIKE + attribution,conditional (derivative-database classification and obligations require case-specific ODbL assessment),admin_level tagging heterogeneous; de facto-ish; no neutrality policy,suitable for points/POIs; weak for authoritative admin-0 styling,MAP-C,boundary source: NO; city point cross-check: possible secondary,nominatim.openstreetmap.org HTTP 000 (blocked) this session,ODbL effects on bundled site data are fact-dependent and require case-specific assessment; unattractive for current basemap
MAPSRC-09,C,Overture Maps Foundation,Overture (Linux Foundation),buildings/places/divisions; includes boundary themes,YES,global,monthly releases,CDLA-Permissive 2.0,YES with attribution,inherits OSM/mixed provenance for divisions,immature for this use; large,MAP-C,not recommended for current need,overturemaps.org HTTP 200 this session (homepage only),watch for future; not needed now
MAPSRC-10,A,National geographic/statistical institutes (INEGI MX; IGN AR; IBGE BR; IGN PE; IDE CL etc.),national governments,official national territory/boundary data per country,YES per country,national,per-agency release cycles,most are open-data with attribution (per-agency check required),mostly YES for their own data (verify per agency),authoritative for the STATE'S OWN territory and its official position,authoritative but assembly of 20+ sources is high-effort,MAP-A,authoritative CROSS-CHECK for high-risk boundaries (Essequibo/Belize-Guatemala/Falklands) during implementation QA; not the basemap supply,not fetched individually this session (out of reach budget); names/roles verified as standing institutions,list in policy as the designated dispute-cross-check channel
